observer,orientation,reported,rt
1,15,38,0.98882609289285
1,82,78,0.871014922282484
1,49,59,1.15359659551905
1,28,42,0.977025849886559
1,97,112,1.28306868516302
1,142,122,0.929935590651439
1,77,66,1.44786904292778
1,113,119,2.08364320996407
1,119,113,0.894655837128084
1,78,62,0.988785975052451
1,112,101,0.647334635970765
1,118,119,0.564945652764436
1,163,159,1.16540679023819
1,55,45,1.15359286362582
1,120,129,0.871052552196488
1,6,165,1.53026269100155
1,20,37,1.14181376800843
1,178,3,1.10651380007039
1,148,49,0.788638689708023
1,14,25,1.34195452253698
1,22,33,1.43610798478767
1,51,53,1.22410478904203
1,58,60,1.33012038150991
1,32,43,1.04766932450002
1,66,47,1.02408905289849
1,52,66,1.42440694791367
1,73,63,0.976996305740613
1,171,0,0.918176087463507
1,163,155,1.31843022932298
1,172,174,1.70688630510631
1,75,66,1.40080148604102
1,107,116,1.25957953392935
1,131,116,0.906381131306262
1,43,55,0.894571869554056
1,31,17,1.70689532384858
1,168,0,1.49501310360574
1,129,137,1.41256752003392
1,40,38,1.20071391097008
1,61,43,1.30663869405907
1,12,31,1.48326386312328
1,12,149,1.41257094093453
1,161,159,1.27131944468056
1,165,172,2.27198465446054
1,91,86,1.2006576215972
1,138,145,1.16535081185793
1,68,48,1.14179324260112
1,97,121,1.10647306024839
1,94,108,1.56562268020207
1,160,159,1.33018942151466
1,115,120,1.27133530522406
1,7,19,1.40080708387904
1,152,150,2.3426262631292
1,30,33,1.0946799700323
1,149,153,1.04769886864597
1,57,37,1.08294348018171
1,80,65,1.76573482355889
1,160,148,1.5302941010923
1,137,136,1.18887728201298
1,166,164,1.09473066156716
1,57,64,0.847489074109035
1,88,91,1.22422825247486
1,104,102,1.24776280839797
1,126,115,0.682675032738189
1,57,55,1.44788148256703
1,36,29,1.4243553234046
1,179,2,2.09542137260723
1,67,59,1.07114790203923
1,33,32,1.62443512369646
1,129,130,1.1889006063393
1,31,3,1.65966978352299
1,87,99,1.71866446775311
1,2,1,1.60095343624926
1,4,21,1.2241959094099
1,57,55,0.871039801564621
1,79,72,1.76574353130854
1,12,28,1.20066881727325
1,127,134,1.35370283004886
1,92,88,0.988705739371653
1,144,123,0.80046443397805
1,67,58,0.977018697089079
1,149,138,1.33015334656011
1,133,145,0.965225606872991
1,140,139,1.23597935890211
1,47,47,1.36554194693235
1,3,11,1.13001476896534
1,3,9,1.09476455958793
1,136,144,1.31842898535615
1,85,98,1.73048523616671
1,23,25,1.10647554817479
1,157,147,2.66044508411869
1,129,128,1.31844484589965
1,69,57,1.34194270487933
1,80,69,2.03653615721487
1,126,121,0.977010922313639
1,152,150,1.51849137015597
1,35,38,1.65977831938653
1,139,131,2.04828819661634
1,94,105,1.40084035991458
1,112,120,1.57738809221701
1,150,136,1.28305873345016
1,148,149,1.84818040713071
1,39,50,2.69573789926289
1,120,125,1.24772206857597
1,114,119,1.08297209135708
1,157,146,2.43676479780697
1,10,28,0.741553717321949
1,173,20,1.38897107690354
1,30,32,1.27131975567318
1,115,118,1.43616956100595
1,93,113,1.16539590555476
1,27,31,1.71864829622064
1,81,73,1.41255134850508
1,111,124,1.20067099421067
1,29,29,0.600279518719617
1,178,1,1.18894103516868
1,159,151,1.27131540179835
1,68,58,1.08296462757426
1,61,62,1.14180910314099
1,41,53,1.67160935050561
1,54,46,1.5421117595979
1,155,144,1.22422483157425
1,23,30,1.43611980244896
1,62,53,1.1302287307808
1,12,26,0.988767937575176
1,106,110,1.23599677440143
1,172,163,1.0123105792627
1,40,53,1.71864674126482
1,49,44,1.15362271876438
1,24,37,1.45966835296349
1,179,166,1.28306557525502
1,122,127,1.56562268020207
